Frequency (Hz)	Level (dB)
488.281250	-57.187294
976.562500	-54.400562
1464.843750	-51.081806
1953.125000	-51.407299
2441.406250	-45.987850
2929.687500	-52.409721
3417.968750	-57.822727
3906.250000	-52.669277
4394.531250	-55.329487
4882.812500	-53.553513
5371.093750	-54.618332
5859.375000	-49.011223
6347.656250	-50.140667
6835.937500	-50.519310
7324.218750	-52.868458
7812.500000	-48.192284
8300.781250	-46.586487
8789.062500	-46.888184
9277.343750	-43.075932
9765.625000	-46.489235
10253.906250	-45.460514
10742.187500	-45.507053
11230.468750	-42.524826
11718.750000	-44.772629
12207.031250	-43.770599
12695.312500	-41.102486
13183.593750	-41.886433
13671.875000	-38.987900
14160.156250	-37.458904
14648.437500	-36.924385
15136.718750	-34.681755
15625.000000	-32.043331
16113.281250	-29.151875
16601.562500	-24.140427
17089.843750	-12.751929
17578.125000	-17.984814
18066.406250	-26.245281
18554.687500	-30.121433
19042.968750	-32.687645
19531.250000	-34.836922
20019.531250	-35.456554
20507.812500	-34.769035
20996.093750	-31.660334
21484.375000	-22.540760
21972.656250	-21.442242
22460.937500	-30.202131
22949.218750	-34.077663
23437.500000	-36.331657
23925.781250	-38.302372
24414.062500	-39.439072
24902.343750	-38.645962
25390.625000	-40.384411
25878.906250	-41.519524
26367.187500	-41.933605
26855.468750	-43.152916
27343.750000	-43.507183
27832.031250	-43.776558
28320.312500	-44.865025
28808.593750	-44.866867
29296.875000	-45.360355
29785.156250	-44.572826
30273.437500	-45.534554
30761.718750	-45.509277
31250.000000	-46.426331
31738.281250	-47.020920
32226.562500	-46.952690
32714.843750	-47.383953
33203.125000	-47.551014
33691.406250	-47.604557
34179.687500	-48.168755
34667.968750	-48.509800
35156.250000	-48.259113
35644.531250	-48.465885
36132.812500	-48.781864
36621.093750	-48.430630
37109.375000	-49.674854
37597.656250	-50.119015
38085.937500	-50.025948
38574.218750	-50.007889
39062.500000	-50.163841
39550.781250	-50.451145
40039.062500	-50.371483
40527.343750	-50.593586
41015.625000	-50.763371
41503.906250	-51.035965
41992.187500	-51.187401
42480.468750	-51.333565
42968.750000	-51.519573
43457.031250	-51.558220
43945.312500	-51.674690
44433.593750	-51.918861
44921.875000	-51.838638
45410.156250	-52.376446
45898.437500	-52.138943
46386.718750	-52.351154
46875.000000	-52.438671
47363.281250	-52.501526
47851.562500	-52.880188
48339.843750	-52.746071
48828.125000	-53.036369
49316.406250	-53.072533
49804.687500	-53.285656
50292.968750	-53.275837
50781.250000	-53.204041
51269.531250	-53.305847
51757.812500	-53.898563
52246.093750	-53.964832
52734.375000	-54.024342
53222.656250	-53.934597
53710.937500	-53.879173
54199.218750	-54.215084
54687.500000	-54.244560
55175.781250	-54.625057
55664.062500	-54.403786
56152.343750	-54.585114
56640.625000	-54.776295
57128.906250	-55.008095
57617.187500	-54.886341
58105.468750	-54.814037
58593.750000	-55.170933
59082.031250	-55.601078
59570.312500	-55.120518
60058.593750	-55.594444
60546.875000	-55.263401
61035.156250	-55.144905
61523.437500	-55.640633
62011.718750	-55.902073
62500.000000	-55.575657
62988.281250	-55.409752
63476.562500	-55.760384
63964.843750	-55.636673
64453.125000	-55.966515
64941.406250	-56.087955
65429.687500	-56.322647
65917.968750	-56.426723
66406.250000	-55.876335
66894.531250	-56.036140
67382.812500	-56.494698
67871.093750	-55.986927
68359.375000	-56.811314
68847.656250	-57.161343
69335.937500	-57.296417
69824.218750	-57.224548
70312.500000	-56.899242
70800.781250	-57.233505
71289.062500	-57.216908
71777.343750	-56.542084
72265.625000	-57.483349
72753.906250	-57.759346
73242.187500	-57.214046
73730.468750	-57.498146
74218.750000	-57.266361
74707.031250	-57.121349
75195.312500	-57.318604
75683.593750	-58.298729
76171.875000	-57.705414
76660.156250	-58.021450
77148.437500	-58.148392
77636.718750	-57.349251
78125.000000	-57.805923
78613.281250	-57.924229
79101.562500	-58.330673
79589.843750	-57.930298
80078.125000	-58.430340
80566.406250	-57.733540
81054.687500	-58.107174
81542.968750	-59.022182
82031.250000	-57.976402
82519.531250	-58.562756
83007.812500	-58.328487
83496.093750	-58.851814
83984.375000	-58.491058
84472.656250	-59.184025
84960.937500	-58.909878
85449.218750	-59.180920
85937.500000	-58.649456
86425.781250	-59.023949
86914.062500	-58.985500
87402.343750	-58.844090
87890.625000	-59.124962
88378.906250	-59.174408
88867.187500	-59.558723
89355.468750	-60.255032
89843.750000	-58.867107
90332.031250	-59.326904
90820.312500	-59.189178
91308.593750	-59.091763
91796.875000	-59.110863
92285.156250	-59.200748
92773.437500	-59.390835
93261.718750	-59.771946
93750.000000	-59.883339
94238.281250	-59.958336
94726.562500	-59.286034
95214.843750	-58.539318
95703.125000	-59.398678
96191.406250	-60.307251
96679.687500	-60.455868
97167.968750	-59.492371
97656.250000	-60.343014
98144.531250	-60.040710
98632.812500	-60.186069
99121.093750	-60.379253
99609.375000	-60.440781
100097.656250	-60.534199
100585.937500	-60.195679
101074.218750	-59.721413
101562.500000	-60.515377
102050.781250	-59.461361
102539.062500	-59.759960
103027.343750	-60.341541
103515.625000	-60.602619
104003.906250	-61.037926
104492.187500	-60.500950
104980.468750	-61.709351
105468.750000	-60.600109
105957.031250	-61.482918
106445.312500	-60.393436
106933.593750	-61.298553
107421.875000	-60.496517
107910.156250	-62.209908
108398.437500	-60.926018
108886.718750	-61.212585
109375.000000	-60.623531
109863.281250	-61.822109
110351.562500	-61.255383
110839.843750	-60.111649
111328.125000	-61.081963
111816.406250	-60.588322
112304.687500	-61.579781
112792.968750	-61.566433
113281.250000	-61.737984
113769.531250	-62.178314
114257.812500	-61.211357
114746.093750	-61.601509
115234.375000	-61.410816
115722.656250	-62.137852
116210.937500	-61.951984
116699.218750	-61.892838
117187.500000	-61.622955
117675.781250	-62.424789
118164.062500	-61.378647
118652.343750	-62.620674
119140.625000	-62.135216
119628.906250	-62.563637
120117.187500	-61.889359
120605.468750	-62.280148
121093.750000	-61.929703
121582.031250	-62.107220
122070.312500	-63.006500
122558.593750	-62.721901
123046.875000	-61.620190
123535.156250	-62.751202
124023.437500	-62.267590
124511.718750	-62.125286
125000.000000	-62.407967
125488.281250	-62.797009
125976.562500	-62.981621
126464.843750	-63.158077
126953.125000	-62.066013
127441.406250	-62.598480
127929.687500	-61.879879
128417.968750	-62.783974
128906.250000	-62.359146
129394.531250	-63.009132
129882.812500	-62.373520
130371.093750	-63.050972
130859.375000	-62.609940
131347.656250	-63.303383
131835.937500	-62.496742
132324.218750	-62.360870
132812.500000	-63.527889
133300.781250	-62.570168
133789.062500	-63.165310
134277.343750	-61.574814
134765.625000	-63.067402
135253.906250	-62.670879
135742.187500	-63.206573
136230.468750	-62.475868
136718.750000	-63.455441
137207.031250	-62.285069
137695.312500	-63.505199
138183.593750	-61.924057
138671.875000	-63.080334
139160.156250	-63.485992
139648.437500	-63.135056
140136.718750	-64.348480
140625.000000	-62.492805
141113.281250	-63.892719
141601.562500	-63.623901
142089.843750	-63.178509
142578.125000	-63.978687
143066.406250	-63.667740
143554.687500	-63.587212
144042.968750	-63.189804
144531.250000	-63.800205
145019.531250	-63.973972
145507.812500	-64.211006
145996.093750	-64.097534
146484.375000	-63.813011
146972.656250	-63.296257
147460.937500	-63.389854
147949.218750	-63.942822
148437.500000	-64.658379
148925.781250	-63.255589
149414.062500	-63.476078
149902.343750	-65.543106
150390.625000	-63.569698
150878.906250	-62.303745
151367.187500	-64.577003
151855.468750	-63.879948
152343.750000	-65.398888
152832.031250	-63.390358
153320.312500	-64.069870
153808.593750	-64.091766
154296.875000	-64.726089
154785.156250	-64.558472
155273.437500	-64.079697
155761.718750	-66.261681
156250.000000	-63.713902
156738.281250	-63.965508
157226.562500	-64.736626
157714.843750	-64.728928
158203.125000	-64.439682
158691.406250	-64.477127
159179.687500	-63.681438
159667.968750	-63.998310
160156.250000	-63.761852
160644.531250	-65.437691
161132.812500	-64.836899
161621.093750	-66.802284
162109.375000	-65.346474
162597.656250	-64.138550
163085.937500	-64.514099
163574.218750	-65.226761
164062.500000	-65.270706
164550.781250	-64.107140
165039.062500	-65.130150
165527.343750	-65.245483
166015.625000	-64.725761
166503.906250	-63.174404
166992.187500	-64.891174
167480.468750	-66.547211
167968.750000	-64.981300
168457.031250	-64.195389
168945.312500	-64.334938
169433.593750	-65.361198
169921.875000	-64.805946
170410.156250	-65.218300
170898.437500	-65.343849
171386.718750	-65.309555
171875.000000	-65.453522
172363.281250	-65.653252
172851.562500	-65.443260
173339.843750	-65.738831
173828.125000	-64.996948
174316.406250	-64.553116
174804.687500	-64.070206
175292.968750	-65.297394
175781.250000	-65.743202
176269.531250	-64.970718
176757.812500	-65.661568
177246.093750	-65.860451
177734.375000	-65.111885
178222.656250	-66.736382
178710.937500	-65.710358
179199.218750	-66.389626
179687.500000	-65.567459
180175.781250	-65.233116
180664.062500	-64.396141
181152.343750	-65.586113
181640.625000	-65.775101
182128.906250	-64.102013
182617.187500	-65.813759
183105.468750	-65.913345
183593.750000	-66.569710
184082.031250	-64.070885
184570.312500	-65.750816
185058.593750	-66.237915
185546.875000	-64.987923
186035.156250	-66.284210
186523.437500	-65.948517
187011.718750	-65.270523
187500.000000	-65.933624
187988.281250	-67.590836
188476.562500	-67.310997
188964.843750	-66.417992
189453.125000	-65.302658
189941.406250	-66.633530
190429.687500	-65.694008
190917.968750	-65.823219
191406.250000	-65.310005
191894.531250	-66.274178
192382.812500	-66.200455
192871.093750	-65.442184
193359.375000	-65.606941
193847.656250	-67.212509
194335.937500	-65.030945
194824.218750	-65.754593
195312.500000	-65.107063
195800.781250	-65.691124
196289.062500	-65.427803
196777.343750	-64.199287
197265.625000	-65.548210
197753.906250	-65.197693
198242.187500	-67.590782
198730.468750	-67.524094
199218.750000	-65.581886
199707.031250	-65.582458
200195.312500	-67.084335
200683.593750	-66.784088
201171.875000	-66.553253
201660.156250	-65.593575
202148.437500	-66.530846
202636.718750	-67.543732
203125.000000	-65.752411
203613.281250	-65.668533
204101.562500	-66.226974
204589.843750	-66.281822
205078.125000	-67.115616
205566.406250	-66.717911
206054.687500	-67.099373
206542.968750	-66.926483
207031.250000	-66.513115
207519.531250	-67.923714
208007.812500	-66.530457
208496.093750	-69.543114
208984.375000	-65.501831
209472.656250	-67.433861
209960.937500	-66.740860
210449.218750	-66.733391
210937.500000	-67.136826
211425.781250	-64.768761
211914.062500	-68.279213
212402.343750	-64.942833
212890.625000	-65.618729
213378.906250	-67.417976
213867.187500	-68.593864
214355.468750	-67.758301
214843.750000	-66.663452
215332.031250	-66.544319
215820.312500	-67.576256
216308.593750	-66.818481
216796.875000	-67.987198
217285.156250	-66.746239
217773.437500	-68.506599
218261.718750	-66.708206
218750.000000	-69.543564
219238.281250	-67.864204
219726.562500	-68.408730
220214.843750	-65.627151
220703.125000	-66.130142
221191.406250	-66.881752
221679.687500	-66.795982
222167.968750	-69.230171
222656.250000	-66.910393
223144.531250	-67.822823
223632.812500	-67.697792
224121.093750	-68.639778
224609.375000	-66.467934
225097.656250	-66.456314
225585.937500	-66.316574
226074.218750	-69.730415
226562.500000	-67.782928
227050.781250	-67.544731
227539.062500	-67.944389
228027.343750	-67.309532
228515.625000	-68.502174
229003.906250	-67.404350
229492.187500	-68.348114
229980.468750	-67.148125
230468.750000	-67.538582
230957.031250	-67.976334
231445.312500	-67.578239
231933.593750	-67.728767
232421.875000	-66.904015
232910.156250	-68.246452
233398.437500	-67.688492
233886.718750	-66.701172
234375.000000	-66.561157
234863.281250	-66.523933
235351.562500	-67.811890
235839.843750	-66.651749
236328.125000	-67.206055
236816.406250	-72.292252
237304.687500	-67.999146
237792.968750	-66.293915
238281.250000	-67.870918
238769.531250	-66.601471
239257.812500	-66.432983
239746.093750	-68.175026
240234.375000	-69.418098
240722.656250	-66.204544
241210.937500	-68.482765
241699.218750	-66.601242
242187.500000	-68.699409
242675.781250	-66.089882
243164.062500	-70.317696
243652.343750	-68.200180
244140.625000	-68.148560
244628.906250	-68.157036
245117.187500	-68.319725
245605.468750	-67.319908
246093.750000	-67.137268
246582.031250	-70.409370
247070.312500	-68.175896
247558.593750	-68.001915
248046.875000	-68.171738
248535.156250	-66.378380
249023.437500	-67.576714
249511.718750	-66.272156
250000.000000	-67.261589
250488.281250	-68.139297
250976.562500	-67.880730
251464.843750	-70.827660
251953.125000	-68.244057
252441.406250	-68.483925
252929.687500	-67.945251
253417.968750	-69.499153
253906.250000	-70.419472
254394.531250	-67.441055
254882.812500	-68.075287
255371.093750	-67.467522
255859.375000	-68.235985
256347.656250	-66.805305
256835.937500	-69.065483
257324.218750	-69.439270
257812.500000	-68.261658
258300.781250	-66.208557
258789.062500	-67.836563
259277.343750	-65.774010
259765.625000	-68.039474
260253.906250	-70.374893
260742.187500	-70.794922
261230.468750	-67.839020
261718.750000	-67.594170
262207.031250	-66.773827
262695.312500	-68.018951
263183.593750	-66.784233
263671.875000	-68.198318
264160.156250	-68.386108
264648.437500	-68.998230
265136.718750	-69.330009
265625.000000	-68.293526
266113.281250	-67.224747
266601.562500	-68.323502
267089.843750	-70.811073
267578.125000	-67.560661
268066.406250	-70.665916
268554.687500	-69.206993
269042.968750	-67.328514
269531.250000	-69.645233
270019.531250	-70.309875
270507.812500	-68.763466
270996.093750	-69.717560
271484.375000	-68.402161
271972.656250	-68.020035
272460.937500	-68.687027
272949.218750	-67.902916
273437.500000	-67.553169
273925.781250	-68.857758
274414.062500	-67.398613
274902.343750	-68.523315
275390.625000	-69.361626
275878.906250	-72.113617
276367.187500	-69.514915
276855.468750	-68.777039
277343.750000	-68.521797
277832.031250	-70.004196
278320.312500	-68.676437
278808.593750	-71.287453
279296.875000	-69.963318
279785.156250	-72.346909
280273.437500	-68.121933
280761.718750	-68.590210
281250.000000	-68.358719
281738.281250	-68.544846
282226.562500	-69.306709
282714.843750	-67.972832
283203.125000	-68.570992
283691.406250	-67.529434
284179.687500	-68.172104
284667.968750	-70.259941
285156.250000	-69.619194
285644.531250	-70.271675
286132.812500	-70.115952
286621.093750	-69.838097
287109.375000	-68.290756
287597.656250	-68.891533
288085.937500	-68.780167
288574.218750	-66.534111
289062.500000	-68.454742
289550.781250	-70.375183
290039.062500	-69.716469
290527.343750	-69.738922
291015.625000	-68.713097
291503.906250	-66.924889
291992.187500	-69.707230
292480.468750	-69.950859
292968.750000	-68.399422
293457.031250	-68.417023
293945.312500	-69.771248
294433.593750	-69.424973
294921.875000	-68.856178
295410.156250	-72.350456
295898.437500	-69.010353
296386.718750	-68.836609
296875.000000	-70.302948
297363.281250	-70.802071
297851.562500	-69.955498
298339.843750	-68.456810
298828.125000	-70.244942
299316.406250	-69.880463
299804.687500	-70.060104
300292.968750	-67.745148
300781.250000	-69.860542
301269.531250	-70.919754
301757.812500	-69.031181
302246.093750	-68.322929
302734.375000	-69.688530
303222.656250	-70.970139
303710.937500	-68.109016
304199.218750	-69.134277
304687.500000	-70.034546
305175.781250	-68.265488
305664.062500	-69.391891
306152.343750	-68.996254
306640.625000	-69.235817
307128.906250	-70.852982
307617.187500	-70.522453
308105.468750	-70.443802
308593.750000	-69.122147
309082.031250	-68.356285
309570.312500	-70.192245
310058.593750	-69.772797
310546.875000	-68.436462
311035.156250	-72.145454
311523.437500	-70.118980
312011.718750	-67.748253
312500.000000	-69.669876
312988.281250	-69.447815
313476.562500	-69.403893
313964.843750	-74.883797
314453.125000	-70.195717
314941.406250	-70.952225
315429.687500	-68.584747
315917.968750	-71.955788
316406.250000	-70.150909
316894.531250	-68.001053
317382.812500	-69.371086
317871.093750	-71.584160
318359.375000	-70.244087
318847.656250	-68.840416
319335.937500	-68.366844
319824.218750	-71.537292
320312.500000	-69.228218
320800.781250	-69.605896
321289.062500	-69.568657
321777.343750	-70.928368
322265.625000	-70.835983
322753.906250	-68.882874
323242.187500	-70.451675
323730.468750	-69.116821
324218.750000	-69.571991
324707.031250	-71.018913
325195.312500	-70.632423
325683.593750	-71.710411
326171.875000	-70.666183
326660.156250	-71.132278
327148.437500	-70.472610
327636.718750	-70.693146
328125.000000	-69.622971
328613.281250	-71.338921
329101.562500	-71.065491
329589.843750	-67.268661
330078.125000	-70.386078
330566.406250	-69.952202
331054.687500	-70.387352
331542.968750	-75.715073
332031.250000	-69.901451
332519.531250	-70.723137
333007.812500	-70.592705
333496.093750	-69.665535
333984.375000	-70.999519
334472.656250	-70.347771
334960.937500	-69.273560
335449.218750	-70.447029
335937.500000	-70.108040
336425.781250	-67.987015
336914.062500	-71.653847
337402.343750	-70.360069
337890.625000	-70.487152
338378.906250	-70.904297
338867.187500	-68.578278
339355.468750	-72.259026
339843.750000	-71.397118
340332.031250	-74.442604
340820.312500	-68.948524
341308.593750	-74.053787
341796.875000	-69.604851
342285.156250	-71.916290
342773.437500	-69.068398
343261.718750	-70.198624
343750.000000	-71.129349
344238.281250	-73.197807
344726.562500	-72.345085
345214.843750	-73.922287
345703.125000	-70.678215
346191.406250	-72.065491
346679.687500	-68.963844
347167.968750	-69.511940
347656.250000	-72.539619
348144.531250	-72.572197
348632.812500	-71.480881
349121.093750	-70.084221
349609.375000	-71.343391
350097.656250	-74.065147
350585.937500	-71.369080
351074.218750	-70.532211
351562.500000	-70.275398
